ID,CREATE DATE,Status,Shortage Type,Primary Usages,Household Support,Water Issues,Approximate Issue Start Date,County,CITY,LATITUDE,LONGITUDE,Well Depth,Was Issue Resolved?,Approximate Repair Cost,Additional Info,Well to Water Depth,Measure Date,Pump Rate Reduction,Report Date,StatusType,Region
25,09/03/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/01/2014,Tehama,Corning,39.9325649,-122.184719,108.0,"using water out of Ag well on the property
",,,96.95,08/07/2014,Not sure,09/03/2014,Outage,Inland
26,08/29/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
,Reduction in water pressure, lower flows.
",08/01/2014,Tehama,Corning,39.936599,-122.22275,,"bottled water for drinkin
",,,,,not producing any water,08/29/2014,Outage,Inland
27,08/18/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/16/2014,Tehama,Corning,39.914511,-122.192739,116.0,"not getting water from anyone at this point
",,,,,Not sure,08/18/2014,Outage,Inland
28,08/18/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",07/28/2014,Tehama,Corning,39.975865,-122.171268,97.0,"No, getting water from our neighbors with a hose
",,,,,It's no longer producing any water,08/18/2014,Outage,Inland
29,08/15/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
,some recharge happening but once pressure tank is empty, it takes about 1 hour to re-fill
",07/01/2014,Tehama,Red Bluff,40.19233699999999,-122.165002,,"No, using bottled water for drinking and waiting on pump company
",,,,,recharge is very slow,08/15/2014,Outage,Inland
30,09/08/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/07/2014,Tehama,Corning,39.8922509,-122.1229278,,"No, on drilling wait list
",,,,,,09/08/2014,Outage,Inland
31,09/08/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/08/2014,Tehama,Corning,39.946375,-122.186997,,"No, getting water from our neighbors with a hose
,No, on drilling wait list
",,,,,Not sure,09/08/2014,Outage,Inland
33,07/15/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",07/07/2014,Merced,Los Banos,37.029234,-120.891928,n/a,"No, cannot afford to finance solutions
",,,,,,07/15/2015,Outage,Inland
34,07/16/2015,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/01/2015,Fresno,Kingsburg,36.501969,-119.564123,,"No, cannot afford to finance solutions
",,Interim Tank Installed 11/23/15,,,,07/16/2015,Resolved,Inland
35,07/21/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/05/2015,Merced,Merced,37.342459,-120.502597,,"
",,,,,,07/21/2015,Outage,Inland
36,07/16/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",07/03/2015,Merced,Le Grande,37.2805496,-120.3072778,,"No, cannot afford to finance solutions
",,,,,,07/16/2015,Outage,Inland
37,03/11/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/12/2014,Madera,Chowchilla,37.088287,-120.192372,,"
",,null.About last summer when orchard (trees) went in near Certainteed in Chowchilla; a neighbor also put in a new ag well; and a new ag well went in on Ave 15 for almond trees,,,,03/11/2014,Outage,Inland
38,05/20/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"
",05/14/2014,Madera,Madera,37.03805699999999,-119.997955,,"on SHE wait list
",,null.THE PROBLEM BEGAN 2 MOR 3 MONTHS AGO THE WATER CAME OUT REALLY DIRTY THEN DIDN'T COM E OUT AT ALL.,,,,05/20/2014,Resolved,Inland
39,07/02/2015,Outage,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",07/01/2015,Mariposa,Mariposa,37.5073157,-119.9100564,228.0,"No, trucking in water
",,,0.0,07/01/2015,It's no longer producing any water,07/02/2015,Outage,Inland
41,12/12/2014,Outage,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",08/11/2014,Kings,Hanford,36.400282,-119.641321,,"No, SHE wait list
",,,,,,12/12/2014,Outage,Inland
50,06/24/2014,Undefined,Dry well (groundwater),Household,renter-occupied,"
",,Madera,Chowchilla,37.096386,-120.202796,,"
",,null.6 WEEKS WITH NO WARNING,,,,06/24/2014,Outage,Inland
52,06/27/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera,37.024572,-120.158,,"
",,null.no water for 1-1.5 months,,,,06/27/2014,Outage,Inland
54,07/02/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.084605,-120.190165,,"
",,null.had pump problems a couple of weeks,,,,07/02/2014,Outage,Inland
64,07/02/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.084612,-120.189069,,"
",,null.1 year ago and now more recently,,,,07/02/2014,Outage,Inland
65,07/11/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.078174,-120.436334,,"
",,null.dry now for three months but drilling a new well on 7/11/14,,,,07/11/2014,Outage,Inland
66,07/11/2014,Undefined,Dry well (groundwater),Household,,"
",,Madera,Chowchilla,37.095961,-120.194154,,"
",,null.first noticed water problems this year on June 1st (after returning from Mexico); last year lowered pump from 260 to 315.,,,,07/11/2014,Outage,Inland
68,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",07/12/2014,Madera,Madera,37.000216,-119.890947,,"
",,,,,,07/14/2014,Outage,Inland
71,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.081166,-120.200409,,"
",,,,,,07/14/2014,Outage,Inland
72,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera Lakes,36.9922634,-120.0561597,,"
",,,,,,07/14/2014,Outage,Inland
74,12/11/2014,Outage,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",10/09/2014,Kings,Riverdale,36.4014834,-119.8091492,,"No, SHE wait list
",,,,,,12/11/2014,Outage,Inland
75,12/12/2014,Interim Solution,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",08/08/2014,Fresno,Fresno,36.657123,-119.75481,,"No, SHE wait list
",,Missing documentation,,,,03/01/2016,Resolved,Inland
77,12/12/2014,Outage,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",08/11/2014,Merced,Winton,37.3777857,-120.600603,,"No, SHE wait list
",,,,,,12/12/2014,Outage,Inland
78,12/12/2014,Outage,Dry well (groundwater),Household,,"Well is dry (no longer producing water)
",07/24/2014,Kings,Hanford,36.355235,-119.599993,,"No, SHE wait list
",,,,,,12/12/2014,Outage,Inland
81,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.084185,-120.194203,,"
",,,,,,07/14/2014,Outage,Inland
82,07/14/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera,36.9530079,-120.026132,,"41865.0
",,null.THIS STARTED A MONTH AGO THEY NEED HELP RIGHT AWAY AND FIVE OTHER FAMILIES DO TO.Well has gone dryas of 8/14/14,,,,07/14/2014,Outage,Inland
83,07/16/2014,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera,36.9673159,-119.890461,,"
",,,,,,07/16/2014,Outage,Inland
84,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,38.010014,-120.416308,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
85,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.938127,-120.416383,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
86,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9503722,-120.4054799,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
87,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9310305,-120.4220727,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
88,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/24/2014,Tuolumne,SONORA,37.9397735,-120.415357,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
89,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9397735,-120.415357,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
90,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504172,-120.4050873,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
91,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504222,-120.4050437,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
92,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.938317,-120.414854,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
93,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504321,-120.4049565,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
94,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504471,-120.4048256,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
95,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.940495,-120.414999,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
96,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.93716,-120.414108,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
97,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.9504971,-120.4043894,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
98,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.95055920000001,-120.4039577,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
99,12/03/2014,Outage,"Low creek, stream, spring, or other surface water source",Household,owner-occupied,"Well is dry (no longer producing water)
",11/07/2014,Tuolumne,Chinese Camp,37.84303,-120.408088,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
100,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,JAMESTOWN,37.844064,-120.575938,,"No, on drilling wait list
",,,,,,12/02/2014,Outage,Inland
101,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,JAMESTOWN,37.8432898,-120.5319611,,"No, on drilling wait list
",,,,,,12/02/2014,Outage,Inland
102,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,COLUMBIA,38.0199423,-120.3898098,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
103,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/12/2014,Tuolumne,COLUMBIA,38.0413039,-120.379469,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
104,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/30/2014,Tuolumne,COLUMBIA,38.0460596,-120.3719033,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
105,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",07/09/2014,Tuolumne,SONORA,38.016856,-120.32689,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
106,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,SONORA,37.90942,-120.279789,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
107,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/10/2014,Tuolumne,SONORA,37.9289384,-120.316932,,"Yes, drilled replacement well
",,,,,,12/02/2014,Resolved,Inland
108,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,SONORA,37.915326,-120.304396,,"Yes, drilled replacement well
",,,,,,12/02/2014,Resolved,Inland
109,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,SONORA,37.924861,-120.299243,,"Yes, drilled replacement well
",,,,,,12/02/2014,Resolved,Inland
110,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/12/2014,Tuolumne,SONORA,37.983662,-120.279727,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
111,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/12/2014,Tuolumne,SONORA,37.983886,-120.276558,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
112,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,SONORA,37.92591,-120.310724,,"Yes, drilled replacement well
",,,,,,12/02/2014,Resolved,Inland
113,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/22/2014,Tuolumne,JAMESTOWN,37.9290526,-120.4219647,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
114,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SONORA,37.940368,-120.416309,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
115,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,TUOLUMNE,37.9482509,-120.2369469,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
116,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,TUOLUMNE,37.9498817,-120.2315702,,"No, on drilling wait list
",,,,,,12/02/2014,Outage,Inland
117,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,TUOLUMNE,37.949808,-120.250913,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
118,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/20/2014,Tuolumne,SONORA,37.954405,-120.303089,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
119,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/23/2014,Tuolumne,JAMESTOWN,37.958759,-120.425616,,"No, on drilling wait list
",,,,,,12/02/2014,Outage,Inland
120,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,JAMESTOWN,37.961405,-120.4121788,,"No, on drilling wait list
",,,,,,12/02/2014,Outage,Inland
121,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/30/2014,Tuolumne,TUOLUMNE,37.950001,-120.230123,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
122,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/12/2014,Tuolumne,SOULSBYVILLE ,37.967973,-120.270204,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
123,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2014,Tuolumne,TUOLUMNE,37.978135,-120.244343,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
124,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,SONORA,37.9784857,-120.3132728,,"No, on drilling wait list
",,,,,,12/02/2014,Outage,Inland
125,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/11/2014,Tuolumne,SONORA,37.9921918,-120.282458,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
126,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/11/2014,Tuolumne,SONORA,37.99480399999999,-120.475817,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
127,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/14/2014,Tuolumne,SONORA,37.998075,-120.472738,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
128,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",03/12/2014,Tuolumne,SONORA,37.8749978,-120.2976867,,"Yes, drilled replacement well
",,,,,,12/02/2014,Resolved,Inland
129,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/13/2014,Tuolumne,SONORA,38.00086,-120.318327,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
130,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/14/2014,Tuolumne,JAMESTOWN,38.002872,-120.407762,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
131,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,TWAIN HARTE,38.0171251,-120.2179553,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
132,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,SONORA,38.007687,-120.401819,,"No, on drilling wait list
",,,,,,12/02/2014,Outage,Inland
133,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",01/10/2014,Tuolumne,SONORA,38.008682,-120.295882,,"Yes, drilled replacement well
",462.0,,,,,12/02/2014,Resolved,Inland
134,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,COLUMBIA,38.015126,-120.385952,,"No, on drilling wait list
",,,,,,12/02/2014,Outage,Inland
135,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SOULSBYVILLE,38.0451639,-120.2069874,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
136,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,MI WUK,38.069221,-120.188298,,"No, on drilling wait list
",,,,,,12/02/2014,Outage,Inland
137,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",01/10/2014,Tuolumne,SONORA,38.0098136,-120.2729064,,"Yes, drilled replacement well
",,,,,,12/02/2014,Resolved,Inland
138,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/26/2014,Tuolumne,SONORA,37.9361741,-120.2815526,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
139,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/26/2014,Tuolumne,SONORA,37.988356,-120.459077,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
140,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/13/2014,Tuolumne,SONORA,37.993221,-120.44017,,"Yes, drilled replacement well
",,,,,,12/02/2014,Resolved,Inland
141,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",05/07/2014,Tuolumne,SONORA,37.9875535,-120.3845662,,"Yes, deepened the well
",,,,,,12/03/2014,Resolved,Inland
142,10/09/2014,Outage,Dry well (groundwater),Combination of Household/Agriculture,owner-occupied,"Reduction in water pressure, lower flows.
",06/01/2014,Tuolumne,Columbia,38.019904,-120.41945,,"Current Outage
",,,,,,10/09/2014,Outage,Inland
143,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/10/2014,Tuolumne,Sonora,37.990646,-120.283528,,"No, on drilling wait list
",,,,,,12/03/2014,Outage,Inland
144,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",01/13/2014,Tuolumne,Groveland,37.852302,-120.220494,,"Yes, drilled replacement well
",,,,,,12/02/2014,Resolved,Inland
145,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",05/14/2014,Tuolumne,Twain Harte,38.038502,-120.225474,,"Yes, drilled replacement well
",,,,,,12/02/2014,Resolved,Inland
146,08/06/2015,Outage,Dry well (groundwater),Household,owner-occupied,"NEW WELL DRILLED-DRY
",06/24/2015,Del Norte,KLAMATH,41.5484728,-124.0724424,120',"No, cannot afford to finance solutions
",,,120',06/24/2015,,08/06/2015,Outage,Coastal
147,08/06/2015,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",06/16/2015,Del Norte,Crescent City,41.7920299,-124.170941,60',"Yes, drilled replacement well
",,,,,,08/06/2015,Resolved,Coastal
148,09/18/2014,Outage,Dry well (groundwater),Household,renter and owner occupied,"Well is dry (no longer producing water)
,for 1.5 years
",09/04/2014,San Mateo,La Honda,37.3191606,-122.2752331,NA,"No, trucking in water
,Cannot afford well drilling or County permitting costs
",NA,,UNK,,March 2012,09/18/2014,Outage,Coastal
149,09/30/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is catching air, have to wait to be able to pump.
",07/14/2014,Lassen,Susanville,40.368991,-120.640015,150 feet,"No, on drilling wait list
",,,,,,09/30/2014,Outage,Inland
150,01/13/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/25/2014,Lassen,Susanville,40.6604699,-120.777174,50',"No, getting water from our neighbors with a hose
",,,,,,01/13/2015,Outage,Inland
151,10/14/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is catching air, have to wait to be able to pump.
,low well flows;
",09/01/2014,Lassen,Susanville,40.659319,-120.773474,60 feet,"No, on drilling wait list
",,,,,,10/14/2014,Outage,Inland
152,10/17/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/10/2014,Kings,Hanford,36.315881,-119.619559,,"No, trucking in water
",,,,,,10/17/2014,Outage,Inland
153,10/17/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/17/2014,Kings,Hanford,36.298103,-119.490553,,"No, getting water from our neighbors with a hose
",,,,,,10/17/2014,Outage,Inland
